GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
EST_VC02,Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school
MOE_VC02,Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school
EST_VC03,"Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Nursery school, preschool"
MOE_VC03,"Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Nursery school, preschool"
EST_VC04,Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Kindergarten
MOE_VC04,Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Kindergarten
EST_VC05,Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Elementary school (grades 1-8)
MOE_VC05,Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Elementary school (grades 1-8)
EST_VC06,Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - High school (grades 9-12)
MOE_VC06,Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - High school (grades 9-12)
EST_VC07,Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - College or graduate school
MOE_VC07,Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - College or graduate school
EST_VC09,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over
MOE_VC09,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over
EST_VC10,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than 9th grade
MOE_VC10,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than 9th grade
EST_VC11,"Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - 9th to 12th grade, no diploma"
MOE_VC11,"Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - 9th to 12th grade, no diploma"
EST_VC12,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency)
MOE_VC12,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency)
EST_VC13,"Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college, no degree"
MOE_VC13,"Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college, no degree"
EST_VC14,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Associate's degree
MOE_VC14,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Associate's degree
EST_VC15,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree
MOE_VC15,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree
EST_VC16,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree
MOE_VC16,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree
EST_VC17,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Percent high school graduate or higher
MOE_VC17,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Percent high school graduate or higher
EST_VC18,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Percent bachelor's degree or higher
MOE_VC18,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Percent bachelor's degree or higher
EST_VC20,Estimate; MARITAL STATUS - Males 15 years and over
MOE_VC20,Margin of Error; MARITAL STATUS - Males 15 years and over
EST_VC21,Estimate; MARITAL STATUS - Males 15 years and over - Never married
MOE_VC21,Margin of Error; MARITAL STATUS - Males 15 years and over - Never married
EST_VC22,"Estimate; MARITAL STATUS - Males 15 years and over - Now married, except separated"
MOE_VC22,"Margin of Error; MARITAL STATUS - Males 15 years and over - Now married, except separated"
EST_VC23,Estimate; MARITAL STATUS - Males 15 years and over - Separated
MOE_VC23,Margin of Error; MARITAL STATUS - Males 15 years and over - Separated
EST_VC24,Estimate; MARITAL STATUS - Males 15 years and over - Widowed
MOE_VC24,Margin of Error; MARITAL STATUS - Males 15 years and over - Widowed
EST_VC25,Estimate; MARITAL STATUS - Males 15 years and over - Divorced
MOE_VC25,Margin of Error; MARITAL STATUS - Males 15 years and over - Divorced
EST_VC26,Estimate; MARITAL STATUS - Females 15 years and over
MOE_VC26,Margin of Error; MARITAL STATUS - Females 15 years and over
EST_VC27,Estimate; MARITAL STATUS - Females 15 years and over - Never married
MOE_VC27,Margin of Error; MARITAL STATUS - Females 15 years and over - Never married
EST_VC28,"Estimate; MARITAL STATUS - Females 15 years and over - Now married, except separated"
MOE_VC28,"Margin of Error; MARITAL STATUS - Females 15 years and over - Now married, except separated"
EST_VC29,Estimate; MARITAL STATUS - Females 15 years and over - Separated
MOE_VC29,Margin of Error; MARITAL STATUS - Females 15 years and over - Separated
EST_VC30,Estimate; MARITAL STATUS - Females 15 years and over - Widowed
MOE_VC30,Margin of Error; MARITAL STATUS - Females 15 years and over - Widowed
EST_VC31,Estimate; MARITAL STATUS - Females 15 years and over - Divorced
MOE_VC31,Margin of Error; MARITAL STATUS - Females 15 years and over - Divorced
EST_VC33,Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months
MOE_VC33,Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months
EST_VC34,"Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married)"
MOE_VC34,"Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married)"
EST_VC35,"Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 unmarried women"
MOE_VC35,"Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 unmarried women"
EST_VC36,"Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 50 years old"
MOE_VC36,"Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 50 years old"
EST_VC37,"Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 19 years old"
MOE_VC37,"Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 19 years old"
EST_VC38,"Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 20 to 34 years old"
MOE_VC38,"Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 20 to 34 years old"
EST_VC39,"Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 35 to 50 years old"
MOE_VC39,"Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 35 to 50 years old"
EST_VC41,Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years in households
MOE_VC41,Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years in households
EST_VC42,Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years in households - Responsible for grandchildren
MOE_VC42,Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years in households - Responsible for grandchildren
EST_VC44,Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years in households - Years responsible for grandchildren - Less than 1 year
MOE_VC44,Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years in households - Years responsible for grandchildren - Less than 1 year
EST_VC45,Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years in households - Years responsible for grandchildren - 1 or 2 years
