,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proposition No. 1A,,Proposition No. 1B,,Proposition No. 1C,,Proposition No. 1D,,,Proposition No. 1E,,,Proposition No. 83,,Proposition No. 84,,Proposition No. 85,,Proposition No. 86,,Proposition No. 87,,Proposition No. 88,,Proposition No. 89,,Proposition No. 90,,,,,,,,,,,,,,,,,
,"Transportation Funding Protection
",,"Highway Safety/Air Quality/
Port Security Bond 2006
",,"Housing/Emergency Shelter Trust Fund 2006
",,"Public Education Facilities Bond 2006
",,,"Disaster Preparedness/Flood Prevention Bond 2006
",,,"Sex Offenders/
Residence Restrictions 
Monitoring",,"Water Qual/Flood/
Resource Protection/
Park Bonds",,"Waiting Period/
Parental Notification
",,"Cigarette Tax 
Initiative
",,"Alternative Energy/Research/
Oil Producer Tax",,"Education Funding/Real Property Parcel Tax
",,"Political Campaigns/Public Financing/Corp Tax
",,Govt Acquisition/Regulation of Private Property,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,No,Yes,No,Yes,No,Yes,No,,Yes,No,,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,
Alameda,"294,913","96,194","257,405","133,892","265,426","126,346","268,872","123,902",,"281,419","107,046",,"236,514","155,449","250,867","135,872","123,919","271,941","238,235","162,600","241,338","159,215","118,322","272,545","151,308","235,966","138,882","231,157",,,,,,,,,,,,,,,,
  Percent,75.5%,24.5%,65.8%,34.2%,67.8%,32.2%,68.5%,31.5%,,72.5%,27.5%,,60.4%,39.6%,64.9%,35.1%,31.3%,68.7%,59.5%,40.5%,60.3%,39.7%,30.2%,69.8%,39.0%,61.0%,37.5%,62.5%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,411,103,276,237,299,218,297,219,,292,224,,318,202,229,284,166,348,281,244,273,247,133,389,128,384,249,243,,,,,,,,,,,,,,,,
  Percent,80.0%,20.0%,53.9%,46.1%,57.9%,42.1%,57.6%,42.4%,,56.6%,43.4%,,61.2%,38.8%,44.6%,55.4%,32.2%,67.8%,53.6%,46.4%,52.5%,47.5%,25.4%,74.6%,25.0%,75.0%,50.7%,49.3%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amador,"10,357","4,084","6,832","7,570","6,787","7,638","6,121","8,239",,"7,422","6,994",,"10,031","4,604","5,133","9,108","7,087","7,501","5,002","9,882","4,488","10,220","2,283","12,065","2,461","11,972","7,948","6,540",,,,,,,,,,,,,,,,
  Percent,71.8%,28.2%,47.4%,52.6%,47.0%,53.0%,42.6%,57.4%,,51.5%,48.5%,,68.6%,31.4%,36.0%,64.0%,48.5%,51.5%,33.6%,66.4%,30.5%,69.5%,15.9%,84.1%,17.0%,83.0%,54.9%,45.1%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte,"50,020","16,627","34,942","31,862","33,467","33,332","31,949","35,016",,"42,520","24,403",,"43,785","23,872","27,148","38,980","31,952","35,609","24,030","44,494","24,233","43,841","12,645","54,560","15,206","51,363","34,807","31,269",,,,,,,,,,,,,,,,
  Percent,75.1%,24.9%,52.4%,47.6%,50.2%,49.8%,47.7%,52.3%,,63.6%,36.4%,,64.8%,35.2%,41.0%,59.0%,47.2%,52.8%,35.0%,65.0%,35.5%,64.5%,18.8%,81.2%,22.8%,77.2%,52.7%,47.3%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calaveras,"12,846","4,623","8,733","8,726","8,535","8,883","7,624","9,832",,"9,499","7,871",,"12,539","5,101","6,590","10,631","8,668","8,856","5,991","11,905","5,643","12,017","2,773","14,791","3,156","14,242","9,482","7,961",,,,,,,,,,,,,,,,
  Percent,73.6%,26.4%,50.1%,49.9%,49.0%,51.0%,43.6%,56.4%,,54.7%,45.3%,,71.1%,28.9%,38.2%,61.8%,49.4%,50.6%,33.4%,66.6%,31.9%,68.1%,15.7%,84.3%,18.1%,81.9%,54.4%,45.6%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
