Category,2006_1A_Yes,2006_1A_No,2006_1B_Yes,2006_1B_No,2006_1C_Yes,2006_1C_No,2006_1D_Yes,2006_1D_No,2006_1E_Yes,2006_1D_No,2006_83_Yes,2006_83_No,2006_84_Yes,2006_84_No,2006_85_Yes,2006_85_No,2006_86_Yes,2006_86_No,2006_87_Yes,2006_87_No,2006_88_Yes,2006_88_No,2006_89_Yes,2006_89_No,2006_90_Yes,2006_90_No,2006_81_Yes,2006_81_No,2006_82_Yes,2006_82_No
Alameda_Total,"294,913","96,194","257,405","133,892","265,426","126,346","268,872","123,902","281,419","107,046","236,514","155,449","250,867","135,872","123,919","271,941","238,235","162,600","241,338","159,215","118,322","272,545","151,308","235,966","138,882","231,157","155,940","98,402","141,575","116,841"
Alameda_Percent,75.50%,24.50%,65.80%,34.20%,67.80%,32.20%,68.50%,31.50%,72.50%,27.50%,60.40%,39.60%,64.90%,35.10%,31.30%,68.70%,59.50%,40.50%,60.30%,39.70%,30.20%,69.80%,39.00%,61.00%,37.50%,62.50%,61.4%,38.6%,54.8%,45.2%
Alpine_Total,411,103,276,237,299,218,297,219,292,224,318,202,229,284,166,348,281,244,273,247,133,389,128,384,249,243,187,240,196,232
Alpine_Percent,80.00%,20.00%,53.90%,46.10%,57.90%,42.10%,57.60%,42.40%,56.60%,43.40%,61.20%,38.80%,44.60%,55.40%,32.20%,67.80%,53.60%,46.40%,52.50%,47.50%,25.40%,74.60%,25.00%,75.00%,50.70%,49.30%,43.7%,56.3%,45.7%,54.3%
Amador_Total,"10,357","4,084","6,832","7,570","6,787","7,638","6,121","8,239","7,422","6,994","10,031","4,604","5,133","9,108","7,087","7,501","5,002","9,882","4,488","10,220","2,283","12,065","2,461","11,972","7,948","6,540","4,125","6,844","3,407","7,718"
Amador_Percent,71.80%,28.20%,47.40%,52.60%,47.00%,53.00%,42.60%,57.40%,51.50%,48.50%,68.60%,31.40%,36.00%,64.00%,48.50%,51.50%,33.60%,66.40%,30.50%,69.50%,15.90%,84.10%,17.00%,83.00%,54.90%,45.10%,37.6%,62.4%,30.6%,69.4%
Butte_Total,"50,020","16,627","34,942","31,862","33,467","33,332","31,949","35,016","42,520","24,403","43,785","23,872","27,148","38,980","31,952","35,609","24,030","44,494","24,233","43,841","12,645","54,560","15,206","51,363","34,807","31,269","16,528","27,465","15,325","29,070"
Butte_Percent,75.10%,24.90%,52.40%,47.60%,50.20%,49.80%,47.70%,52.30%,63.60%,36.40%,64.80%,35.20%,41.00%,59.00%,47.20%,52.80%,35.00%,65.00%,35.50%,64.50%,18.80%,81.20%,22.80%,77.20%,52.70%,47.30%,37.5%,62.5%,34.5%,65.5%
Calaveras_Total,"12,846","4,623","8,733","8,726","8,535","8,883","7,624","9,832","9,499","7,871","12,539","5,101","6,590","10,631","8,668","8,856","5,991","11,905","5,643","12,017","2,773","14,791","3,156","14,242","9,482","7,961","4,223","7,560","4,101","7,813"
Calaveras_Percent,73.60%,26.40%,50.10%,49.90%,49.00%,51.00%,43.60%,56.40%,54.70%,45.30%,71.10%,28.90%,38.20%,61.80%,49.40%,50.60%,33.40%,66.60%,31.90%,68.10%,15.70%,84.30%,18.10%,81.90%,54.40%,45.60%,35.8%,64.2%,34.4%,65.6%
