,Proposition 1A,,Proposition 2,,Proposition 3,,Proposition 4,,Proposition 5,,Proposition 6,,Proposition 7,,Proposition 8,,Proposition 9,,Proposition 10,,Proposition 11,,Proposition 12,
,"Safe, Reliable High-Speed Train Bond Act",,Standards for Confining Farm Animals,,Children's Hospital Bond Act. Grant Program.,,Parent Notif. Before Terminating Minor's Pregnancy,,"Nonviolent Drug Offense. Sentencing, Parole, Rehab.",,"Police, Law Enforcement Funding. Criminal Laws.",,Renewable Energy Generation,,Eliminates Right of Same-Sex Couples to Marry,,Criminal Justice System. Victims' Rights. Parole.,,Altern. Fuel Vehicles and Renewable Energy Bonds,,Redistricting,,Veterans' Bond,
,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,No, Yes,No, Yes,No, Yes,No, Yes,No, Yes,No, Yes,No, Yes,No, Yes,No, Yes,No, Yes,No, Yes,No
Alameda,"362,725","214,939","414,123","172,719","343,670","230,343","211,293","379,586","289,041","285,216","151,743","406,843","188,869","385,315","232,923","378,692","259,651","299,848","224,252","343,343","240,907","296,212","356,146","191,526"
  Percent,62.80%,37.20%,70.60%,29.40%,59.90%,40.10%,35.70%,64.30%,50.40%,49.60%,27.10%,72.90%,32.80%,67.20%,38.00%,62.00%,46.40%,53.60%,39.50%,60.50%,44.80%,55.20%,65.10%,34.90%
,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,331,336,418,247,326,327,250,413,282,384,151,498,291,370,293,379,330,322,233,430,259,369,425,235
  Percent,49.60%,50.40%,62.90%,37.10%,49.90%,50.10%,37.70%,62.30%,42.30%,57.70%,23.20%,76.80%,44.00%,56.00%,43.60%,56.40%,50.70%,49.30%,35.10%,64.90%,41.20%,58.80%,64.40%,35.60%
,,,,,,,,,,,,,,,,,,,,,,,,
Amador,"5,974","11,988","9,755","8,507","6,486","11,158","8,704","9,397","5,191","12,782","4,661","12,856","5,102","12,636","11,945","6,725","9,106","8,592","4,710","13,068","9,145","8,052","10,512","7,398"
  Percent,33.20%,66.80%,53.50%,46.50%,36.70%,63.30%,48.00%,52.00%,28.80%,71.20%,26.60%,73.40%,28.70%,71.30%,64.00%,36.00%,51.50%,48.50%,26.40%,73.60%,53.20%,46.80%,58.70%,41.30%
,,,,,,,,,,,,,,,,,,,,,,,,
Butte,"34,988","59,497","54,213","41,382","37,970","55,660","44,553","51,084","36,463","57,740","23,173","68,962","29,347","64,193","54,822","43,045","45,424","46,570","29,436","63,720","49,394","40,477","58,074","34,512"
  Percent,37.00%,63.00%,56.80%,43.20%,40.50%,59.50%,46.50%,53.50%,38.70%,61.30%,25.10%,74.90%,31.30%,68.70%,56.10%,43.90%,49.30%,50.70%,31.50%,68.50%,55.00%,45.00%,62.80%,37.20%
,,,,,,,,,,,,,,,,,,,,,,,,
Calaveras,"8,438","13,977","12,224","10,571","9,005","13,244","11,040","11,521","6,836","15,573","5,846","15,872","6,517","15,650","14,624","8,588","11,955","10,149","7,028","15,209","11,995","9,542","13,637","8,594"
  Percent,37.60%,62.40%,53.70%,46.30%,40.40%,59.60%,48.90%,51.10%,30.50%,69.50%,26.90%,73.10%,29.30%,70.70%,63.10%,36.90%,54.10%,45.90%,31.60%,68.40%,55.70%,44.30%,61.40%,38.60%
,,,,,,,,,,,,,,,,,,,,,,,,
Colusa,"1,947","4,192","2,726","3,523","2,578","3,602","3,486","2,732","1,698","4,488","1,660","4,434","1,593","4,571","4,556","1,815","3,240","2,849","1,566","4,577","3,033","2,928","3,445","2,675"
  Percent,31.70%,68.30%,43.60%,56.40%,41.70%,58.30%,56.10%,43.90%,27.40%,72.60%,27.20%,72.80%,25.80%,74.20%,71.60%,28.40%,53.30%,46.70%,25.40%,74.60%,50.90%,49.10%,56.30%,43.70%
,,,,,,,,,,,,,,,,,,,,,,,,
Contra Costa,"234,141","196,267","290,503","138,709","264,032","161,521","180,546","252,332","172,265","255,065","127,892","288,053","141,738","282,371","198,713","246,753","224,927","192,997","163,033","259,829","210,252","195,880","275,806","142,053"
  Percent,54.40%,45.60%,67.70%,32.30%,62.10%,37.90%,41.70%,58.30%,40.30%,59.70%,30.70%,69.30%,33.40%,66.60%,44.60%,55.40%,53.90%,46.10%,38.50%,61.50%,51.80%,48.20%,66.10%,33.90%
,,,,,,,,,,,,,,,,,,,,,,,,
Del Norte,"3,102","5,999","5,190","4,023","4,139","4,938","4,807","4,406","3,247","5,942","3,227","5,829","3,347","5,694","5,658","3,770","5,570","3,449","2,903","6,141","3,623","5,070","6,017","3,034"
  Percent,34.00%,66.00%,56.40%,43.60%,45.50%,54.50%,52.20%,47.80%,35.30%,64.70%,35.60%,64.40%,37.00%,63.00%,60.10%,39.90%,61.80%,38.20%,32.00%,68.00%,41.60%,58.40%,66.50%,33.50%
,,,,,,,,,,,,,,,,,,,,,,,,
El Dorado,"33,088","56,433","49,755","40,849","32,692","55,709","43,915","46,405","28,407","60,589","23,763","62,987","26,767","61,635","53,837","38,534","47,947","39,315","25,097","63,192","50,057","34,494","49,501","37,408"
