Category,2008_1A_Yes,2008_1A_No,2008_2_Yes,2008_2_No,2008_3_Yes,2008_3_No,2008_4_Yes,2008_4_No,2008_5_Yes,2008_5_No,2008_6_Yes,2008_6_No,2008_7_Yes,2008_7_No,2008_8_Yes,2008_8_No,2008_9_Yes,2008_9_No,2008_10_Yes,2008_10_No,2008_11_Yes,2008_11_No,2008_12_Yes,2008_12_No
Alameda_Total,"362,725","214,939","414,123","172,719","343,670","230,343","211,293","379,586","289,041","285,216","151,743","406,843","188,869","385,315","232,923","378,692","259,651","299,848","224,252","343,343","240,907","296,212","356,146","191,526"
Alameda_Percent,62.800%,37.200%,70.600%,29.400%,59.900%,40.100%,35.700%,64.300%,50.400%,49.600%,27.100%,72.900%,32.800%,67.200%,38.00%,62.00%,46.400%,53.600%,39.500%,60.500%,44.800%,55.200%,65.100%,34.900%
Alpine_Total,331,336,418,247,326,327,250,413,282,384,151,498,291,370,293,379,330,322,233,430,259,369,425,235
Alpine_Percent,49.600%,50.400%,62.900%,37.100%,49.900%,50.100%,37.700%,62.300%,42.300%,57.700%,23.200%,76.800%,44.00%,56.00%,43.600%,56.400%,50.700%,49.300%,35.100%,64.900%,41.200%,58.800%,64.400%,35.600%
Amador_Total,"5,974","11,988","9,755","8,507","6,486","11,158","8,704","9,397","5,191","12,782","4,661","12,856","5,102","12,636","11,945","6,725","9,106","8,592","4,710","13,068","9,145","8,052","10,512","7,398"
Amador_Percent,33.200%,66.800%,53.500%,46.500%,36.700%,63.300%,48.00%,52.00%,28.800%,71.200%,26.600%,73.400%,28.700%,71.300%,64.00%,36.00%,51.500%,48.500%,26.400%,73.600%,53.200%,46.800%,58.700%,41.300%
Butte_Total,"34,988","59,497","54,213","41,382","37,970","55,660","44,553","51,084","36,463","57,740","23,173","68,962","29,347","64,193","54,822","43,045","45,424","46,570","29,436","63,720","49,394","40,477","58,074","34,512"
Butte_Percent,37.00%,63.00%,56.800%,43.200%,40.500%,59.500%,46.500%,53.500%,38.700%,61.300%,25.100%,74.900%,31.300%,68.700%,56.100%,43.900%,49.300%,50.700%,31.500%,68.500%,55.00%,45.00%,62.800%,37.200%
Calaveras_Total,"8,438","13,977","12,224","10,571","9,005","13,244","11,040","11,521","6,836","15,573","5,846","15,872","6,517","15,650","14,624","8,588","11,955","10,149","7,028","15,209","11,995","9,542","13,637","8,594"
Calaveras_Percent,37.600%,62.400%,53.700%,46.300%,40.400%,59.600%,48.900%,51.100%,30.500%,69.500%,26.900%,73.100%,29.300%,70.700%,63.100%,36.900%,54.100%,45.900%,31.600%,68.400%,55.700%,44.300%,61.400%,38.600%
Colusa_Total,"1,947","4,192","2,726","3,523","2,578","3,602","3,486","2,732","1,698","4,488","1,660","4,434","1,593","4,571","4,556","1,815","3,240","2,849","1,566","4,577","3,033","2,928","3,445","2,675"
Colusa_Percent,31.700%,68.300%,43.600%,56.400%,41.700%,58.300%,56.100%,43.900%,27.400%,72.600%,27.200%,72.800%,25.800%,74.200%,71.600%,28.400%,53.300%,46.700%,25.400%,74.600%,50.900%,49.100%,56.300%,43.700%
Contra Costa_Total,"234,141","196,267","290,503","138,709","264,032","161,521","180,546","252,332","172,265","255,065","127,892","288,053","141,738","282,371","198,713","246,753","224,927","192,997","163,033","259,829","210,252","195,880","275,806","142,053"
Contra Costa_Percent,54.400%,45.600%,67.700%,32.300%,62.100%,37.900%,41.700%,58.300%,40.300%,59.700%,30.700%,69.300%,33.400%,66.600%,44.600%,55.400%,53.900%,46.100%,38.500%,61.500%,51.800%,48.200%,66.100%,33.900%
Del Norte_Total,"3,102","5,999","5,190","4,023","4,139","4,938","4,807","4,406","3,247","5,942","3,227","5,829","3,347","5,694","5,658","3,770","5,570","3,449","2,903","6,141","3,623","5,070","6,017","3,034"
Del Norte_Percent,34.00%,66.00%,56.400%,43.600%,45.500%,54.500%,52.200%,47.800%,35.300%,64.700%,35.600%,64.400%,37.00%,63.00%,60.100%,39.900%,61.800%,38.200%,32.00%,68.00%,41.600%,58.400%,66.500%,33.500%
El Dorado_Total,"33,088","56,433","49,755","40,849","32,692","55,709","43,915","46,405","28,407","60,589","23,763","62,987","26,767","61,635","53,837","38,534","47,947","39,315","25,097","63,192","50,057","34,494","49,501","37,408"
El Dorado_Percent,36.900%,63.100%,55.00%,45.00%,36.900%,63.100%,48.600%,51.400%,31.900%,68.100%,27.300%,72.700%,30.200%,69.800%,58.300%,41.700%,55.00%,45.00%,28.400%,71.600%,59.300%,40.700%,57.00%,43.00%
Fresno_Total,"145,333","116,998","130,122","132,606","141,855","118,390","158,158","105,835","85,599","174,597","84,579","168,676","84,966","172,873","185,993","85,122","148,416","106,217","101,681","154,923","129,028","117,564","164,585","89,967"
