"Safe, Reliable High-",,Standards for,,,Children's Hospital,,,Parent Notif. Before,,,,
Speed Train Bond Act,,Confining Farm,,,Bond Act. Grant,,,Terminating Minor's,,,,
,,Animals,,,Program.,,,Pregnancy,,,,
Alameda,YES,,NO,"Yes
414,123",,"No
172,719","Yes
343,670",,"No
230,343","Yes
211,293",,"No
379,586"
Alameda,"362,725",,"214,939","414,123",,"No
172,719","Yes
343,670",,"No
230,343","Yes
211,293",,"No
379,586"
Percent,62.80%,,37.2%,70.6%,,29.4%,59.9%,,40.1%,35.7%,,64.3%
Alpine,331,,336,418,,247,326,,327,250,,413
Percent,49.60%,,50.4%,62.9%,,37.1%,49.9%,,50.1%,37.7%,,62.3%
Amador,"5,974",,"11,988","9,755",,"8,507","6,486",,"11,158","8,704",,"9,397"
Percent,33.20%,,66.8%,53.5%,,46.5%,36.7%,,63.3%,48.0%,,52.0%
Butte,"34,988",,"59,497","54,213",,"41,382","37,970",,"55,660","44,553",,"51,084"
Percent,37.0%,,63.0%,56.8%,,43.2%,40.5%,,59.5%,46.5%,,53.5%
Calaveras,"8,438",,"13,977","12,224",,"10,571","9,005",,"13,244","11,040",,"11,521"
Percent,37.6%,,62.4%,53.7%,,46.3%,40.4%,,59.6%,48.9%,,51.1%
Colusa,"1,947",,"4,192","2,726",,"3,523","2,578",,"3,602","3,486",,"2,732"
Percent,31.7%,,68.3%,43.6%,,56.4%,41.7%,,58.3%,56.1%,,43.9%
Contra Costa,"234,141",,"196,267","290,503",,"138,709","264,032",,"161,521","180,546",,"252,332"
Percent,54.4%,,45.6%,67.7%,,32.3%,62.1%,,37.9%,41.7%,,58.3%
Del Norte,"3,102",,"5,999","5,190",,"4,023","4,139",,"4,938","4,807",,"4,406"
Percent,34.0%,,66.0%,56.4%,,43.6%,45.5%,,54.5%,52.2%,,47.8%
El Dorado,"33,088",,"56,433","49,755",,"40,849","32,692",,"55,709","43,915",,"46,405"
Percent,36.9%,,63.1%,55.0%,,45.0%,36.9%,,63.1%,48.6%,,51.4%
Fresno,"145,333",,"116,998","130,122",,"132,606","141,855",,"118,390","158,158",,"105,835"
Percent,55.5%,,44.5%,49.5%,,50.5%,54.6%,,45.4%,60.0%,,40.0%
Glenn,"2,460",,"7,088","3,636",,"6,002","3,425",,"6,094","5,470",,"4,164"
Percent,25.7%,,74.3%,37.7%,,62.3%,35.9%,,64.1%,56.8%,,43.2%
Humboldt,"25,839",,"34,845","40,701",,"21,230","28,636",,"31,601","22,274",,"39,555"
Percent,42.5%,,57.5%,65.8%,,34.2%,47.5%,,52.5%,36.0%,,64.0%
Imperial,"20,688",,"16,840","21,016",,"16,313","26,064",,"11,335","28,195",,"10,103"
Percent,55.2%,,44.8%,56.3%,,43.7%,69.7%,,30.3%,73.7%,,26.3%
Inyo,"2,855",,"5,294","4,689",,"3,637","3,646",,"4,469","3,927",,"4,274"
Percent,35.0%,,65.0%,56.4%,,43.6%,44.9%,,55.1%,47.8%,,52.2%
Kern,"114,768",,"111,478","120,655",,"106,283","120,006",,"104,777","148,170",,"78,303"
Percent,50.8%,,49.2%,53.2%,,46.8%,53.4%,,46.6%,65.5%,,34.5%
