,Proposition 19,,Proposition 20,,Proposition 21,,Proposition 22,,Proposition 23,,Proposition 24,,Proposition 25,,Proposition 26,,Proposition 27,
,"Legalize Marijuana in CA, Regulate and Tax",,Redistricting of Congressional Districts,,State Park Funding. Vehicle License Surcharge.,,Prohibit State From Taking Some Local Funds,,Suspend Air Pollution Control Law (AB 32),,Repeal Allowance of Lower Business Tax Liability,,Simple Majority Vote to Pass Budget,,2/3 Vote for Some State/Local Fees,,Eliminate State Redistricting Commission,
,,,,,,,,,,,,,,,,,,
, Yes,No, Yes,No, Yes,No, Yes,No, Yes,No, Yes,No, Yes,No, Yes,No, Yes,No
Alameda,"257,005","199,309","215,847","211,987","254,647","193,906","223,306","204,023","106,106","338,147","237,598","189,635","308,970","128,378","161,125","268,423","196,189","222,783"
  Percent,56.4%,43.6%,50.5%,49.5%,56.8%,43.2%,52.3%,47.7%,23.8%,76.2%,55.7%,44.3%,70.7%,29.3%,37.5%,62.5%,46.8%,53.2%
,,,,,,,,,,,,,,,,,,
Alpine,335,224,318,207,290,261,348,187,212,329,225,294,315,220,241,283,221,299
  Percent,60.0%,40.0%,60.6%,39.4%,52.7%,47.3%,65.1%,34.9%,39.1%,60.9%,43.3%,56.7%,58.9%,41.1%,45.9%,54.1%,42.5%,57.5%
,,,,,,,,,,,,,,,,,,
Amador,"6,706","9,576","10,528","4,944","5,403","10,638","9,737","5,826","8,029","7,808","5,310","10,154","7,655","8,195","9,176","6,320","4,916","10,423"
  Percent,41.1%,58.9%,68.1%,31.9%,33.6%,66.4%,62.6%,37.4%,50.7%,49.3%,34.3%,65.7%,48.2%,51.8%,59.3%,40.7%,32.0%,68.0%
,,,,,,,,,,,,,,,,,,
Butte,"31,969","43,818","46,472","24,659","27,667","46,717","46,051","25,485","33,514","40,501","25,213","45,953","35,359","37,400","36,980","34,148","23,495","46,542"
  Percent,42.1%,57.9%,65.4%,34.6%,37.1%,62.9%,64.4%,35.6%,45.2%,54.8%,35.4%,64.6%,48.5%,51.5%,52.0%,48.0%,33.5%,66.5%
,,,,,,,,,,,,,,,,,,
