Category,2010_19_Yes,2010_19_No,2010_20_Yes,2010_20_No,2010_21_Yes,2010_21_No,2010_22_Yes,2010_22_No,2010_23_Yes,2010_23_No,2010_24_Yes,2010_24_No,2010_25_Yes,2010_25_No,2010_26_Yes,2010_26_No,2010_27_Yes,2010_27_No,2010_13_Yes,2010_13_No,2010_14_Yes,2010_14_No,2010_15_Yes,2010_15_No, 2010_16_Yes,2010_16_No, 2010_17_Yes,2010_17_No
Alameda_Total,"257,005","199,309","215,847","211,987","254,647","193,906","223,306","204,023","106,106","338,147","237,598","189,635","308,970","128,378","161,125","268,423","196,189","222,783","203,629","41,601","126,061","123,013","129,953","112,279","86,527","164,251","90,466","158,837"
Alameda_Percent,56.40%,43.60%,50.50%,49.50%,56.80%,43.20%,52.30%,47.70%,23.80%,76.20%,55.70%,44.30%,70.70%,29.30%,37.50%,62.50%,46.80%,53.20%,83.1%,16.9%,50.7%,49.3%,53.7%,46.3%,34.5%,65.5%,36.2%,63.8%
Alpine_Total,335,224,318,207,290,261,348,187,212,329,225,294,315,220,241,283,221,299,387,84,275,200,202,251,157,294,175,285
Alpine_Percent,60.00%,40.00%,60.60%,39.40%,52.70%,47.30%,65.10%,34.90%,39.10%,60.90%,43.30%,56.70%,58.90%,41.10%,45.90%,54.10%,42.50%,57.50%,82.2%,17.8%,57.9%,42.1%,44.5%,55.5%,34.8%,65.2%,38.0%,62.0%
Amador_Total,"6,706","9,576","10,528","4,944","5,403","10,638","9,737","5,826","8,029","7,808","5,310","10,154","7,655","8,195","9,176","6,320","4,916","10,423","9,352","1,965","6,914","4,535","3,861","7,160","5,967","5,489","5,802","5,698"
Amador_Percent,41.10%,58.90%,68.10%,31.90%,33.60%,66.40%,62.60%,37.40%,50.70%,49.30%,34.30%,65.70%,48.20%,51.80%,59.30%,40.70%,32.00%,68.00%,82.7%,17.3%,60.4%,39.6%,35.0%,65.0%,52.1%,47.9%,50.5%,49.5%
Butte_Total,"31,969","43,818","46,472","24,659","27,667","46,717","46,051","25,485","33,514","40,501","25,213","45,953","35,359","37,400","36,980","34,148","23,495","46,542","40,908","8,472","28,089","21,964","16,737","32,195","22,621","27,405","22,383","27,663"
Butte_Percent,42.10%,57.90%,65.40%,34.60%,37.10%,62.90%,64.40%,35.60%,45.20%,54.80%,35.40%,64.60%,48.50%,51.50%,52.00%,48.00%,33.50%,66.50%,82.9%,17.1%,56.2%,43.8%,34.2%,65.8%,45.2%,54.8%,44.7%,55.3%
Calaveras_Total,"8,554","11,109","13,003","5,832","6,965","12,596","12,559","6,346","9,515","9,742","6,663","12,178","9,811","9,527","11,277","7,600","6,244","12,416","11,629","2,374","8,455","5,745","5,018","8,729","7,433","6,722","7,118","7,118"
Calaveras_Percent,43.50%,56.50%,69.10%,30.90%,35.60%,64.40%,66.50%,33.50%,49.40%,50.60%,35.30%,64.70%,50.80%,49.20%,59.80%,40.20%,33.40%,66.60%,83.1%,16.9%,59.6%,40.4%,36.5%,63.5%,52.6%,47.4%,50.0%,50.0%
Colusa_Total,"1,644","3,530","3,363","1,592","1,134","3,979","3,320","1,625","2,904","2,113","1,449","3,517","2,004","3,052","3,209","1,776","1,604","3,321","2,605",644,"1,991","1,417","1,007","2,301","1,971","1,462","1,983","1,432"
Colusa_Percent,31.70%,68.30%,67.90%,32.10%,22.10%,77.90%,67.20%,32.80%,57.90%,42.10%,29.10%,70.90%,39.60%,60.40%,64.40%,35.60%,32.50%,67.50%,80.2%,19.8%,58.5%,41.5%,30.4%,69.6%,57.5%,42.5%,58.1%,41.9%
Contra Costa_Total,"168,219","175,795","194,117","129,398","156,327","182,865","191,498","134,708","108,652","224,321","147,489","171,731","206,867","122,771","150,441","172,812","135,672","182,173","168,788","27,538","111,838","89,657","87,191","107,218","83,312","118,779","85,047","116,515"
Contra Costa_Percent,48.80%,51.20%,60.10%,39.90%,46.00%,54.00%,58.80%,41.20%,32.60%,67.40%,46.20%,53.80%,62.80%,37.20%,46.50%,53.50%,42.60%,57.40%,86.0%,14.0%,55.6%,44.4%,44.8%,55.2%,41.2%,58.8%,42.1%,57.9%
Del Norte_Total,"4,058","4,083","4,469","3,164","2,591","5,391","4,733","3,031","3,859","3,964","3,041","4,621","4,070","3,696","4,466","3,180","3,146","4,455","4,853","1,125","3,656","2,368","2,341","3,488","3,021","2,907","2,907","3,119"
Del Norte_Percent,49.80%,50.20%,58.60%,41.40%,32.40%,67.60%,61.00%,39.00%,49.30%,50.70%,39.60%,60.40%,52.50%,47.50%,58.50%,41.50%,41.30%,58.70%,81.2%,18.8%,60.7%,39.3%,40.1%,59.9%,51.0%,49.0%,48.2%,51.8%
El Dorado_Total,"31,245","46,125","48,870","23,941","30,404","45,618","47,045","26,154","36,723","38,309","23,568","48,906","33,571","40,941","42,509","29,782","22,469","48,635","40,874","7,694","28,864","21,178","15,432","33,156","24,350","25,498","25,472","24,570"
El Dorado_Percent,40.30%,59.70%,67.20%,32.80%,39.90%,60.10%,64.30%,35.70%,48.90%,51.10%,32.50%,67.50%,45.00%,55.00%,58.90%,41.10%,31.60%,68.40%,84.2%,15.8%,57.7%,42.3%,31.7%,68.3%,48.8%,51.2%,51.0%,49.0%
Fresno_Total,"72,088","127,004","126,765","60,540","61,712","133,363","120,591","68,396","91,126","101,548","64,246","124,109","86,501","105,312","115,762","72,629","63,621","121,773","91,256","21,077","57,881","56,329","37,568","74,147","44,627","70,888","56,793","58,037"
Fresno_Percent,36.20%,63.80%,67.70%,32.30%,31.60%,68.40%,63.90%,36.10%,47.20%,52.80%,34.10%,65.90%,45.00%,55.00%,61.50%,38.50%,34.30%,65.70%,81.3%,18.7%,50.7%,49.3%,33.6%,66.4%,38.6%,61.4%,49.4%,50.6%
Glenn_Total,"2,744","5,224","5,026","2,499","1,624","6,206","5,288","2,338","4,464","3,302","2,207","5,353","2,970","4,690","4,668","2,892","2,404","5,066","4,743","1,273","3,714","2,407","1,759","4,189","3,287","2,803","3,249","2,861"
