,Proposition 30,,Proposition 31,,Proposition 32,,Proposition 33,,Proposition 34,,Proposition 35,,Proposition 36,,Proposition 37,,Proposition 38,,Proposition 39,,Proposition 40,
,Temporary Taxes to Fund Education,,"State Budget, State
and Local Government",,"Political Contributions
by Payroll Deduction
",,Auto Insurance Prices Based on Driver History,,"Death 
Penalty",,"Human 
Trafficking",,"Three Strikes 
Law",,Genetically Engineered Foods Labeling,,Tax for Education. Early Childhood Programs,,Business Tax for Energy Funding,,"Redistricting State
Senate",
,,,,,,,,,,,,,,,,,,,,,,
, Yes,No, Yes,No, Yes,No, Yes,No, Yes,No, Yes,No, Yes,No, Yes,No, Yes,No, Yes,No, Yes,No
Alameda,"431,965","150,109","196,104","334,520","163,044","405,243","195,297","358,471","354,242","212,580","443,513","119,047","443,650","120,834","338,547","234,669","175,225","378,442","403,944","136,432","389,045","122,553"
  Percent,74.2%,25.8%,37.0%,63.0%,28.7%,71.3%,35.3%,64.7%,62.5%,37.5%,78.8%,21.2%,78.6%,21.4%,59.1%,40.9%,31.6%,68.4%,74.8%,25.2%,76.0%,24.0%
,,,,,,,,,,,,,,,,,,,,,,
Alpine,351,279,220,383,296,328,191,430,286,337,516,108,485,145,416,218,182,445,400,220,414,174
  Percent,55.7%,44.3%,36.5%,63.5%,47.4%,52.6%,30.8%,69.2%,45.9%,54.1%,82.7%,17.3%,77.0%,23.0%,65.6%,34.4%,29.0%,71.0%,64.5%,35.5%,70.4%,29.6%
,,,,,,,,,,,,,,,,,,,,,,
Amador,"6,813","10,693","5,489","11,156","9,112","8,252","7,316","9,715","5,888","11,378","13,557","3,612","10,436","6,790","5,893","11,348","3,324","13,787","7,620","9,212","11,333","5,170"
  Percent,38.9%,61.1%,33.0%,67.0%,52.5%,47.5%,43.0%,57.0%,34.1%,65.9%,79.0%,21.0%,60.6%,39.4%,34.2%,65.8%,19.4%,80.6%,45.3%,54.7%,68.7%,31.3%
,,,,,,,,,,,,,,,,,,,,,,
Butte,"43,213","45,336","37,862","45,060","41,924","45,239","36,477","48,849","34,873","51,973","66,879","19,721","58,484","28,343","40,488","47,684","20,157","66,032","46,711","37,962","59,438","22,521"
  Percent,48.8%,51.2%,45.7%,54.3%,48.1%,51.9%,42.8%,57.2%,40.2%,59.8%,77.2%,22.8%,67.4%,32.6%,45.9%,54.1%,23.4%,76.6%,55.2%,44.8%,72.5%,27.5%
,,,,,,,,,,,,,,,,,,,,,,
Calaveras,"8,271","13,139","7,944","12,115","10,986","10,141","9,378","11,326","7,026","14,099","16,653","4,280","13,247","7,669","7,772","13,373","4,146","16,784","10,079","10,587","13,811","6,131"
  Percent,38.6%,61.4%,39.6%,60.4%,52.0%,48.0%,45.3%,54.7%,33.3%,66.7%,79.6%,20.4%,63.3%,36.7%,36.8%,63.2%,19.8%,80.2%,48.8%,51.2%,69.3%,30.7%
,,,,,,,,,,,,,,,,,,,,,,
Colusa,"2,312","3,618","2,381","3,322","3,372","2,515","3,063","2,728","1,824","4,006","4,702","1,137","3,149","2,674","1,681","4,206","1,243","4,591","2,454","3,313","3,569","1,997"
  Percent,39.0%,61.0%,41.7%,58.3%,57.3%,42.7%,52.9%,47.1%,31.3%,68.7%,80.5%,19.5%,54.1%,45.9%,28.6%,71.4%,21.3%,78.7%,42.6%,57.4%,64.1%,35.9%
,,,,,,,,,,,,,,,,,,,,,,
Contra Costa,"259,438","168,617","165,180","229,808","166,536","254,304","170,768","243,076","216,365","204,707","351,062","68,933","301,138","115,758","204,511","217,485","121,894","292,548","273,647","134,613","288,395","102,175"
  Percent,60.6%,39.4%,41.8%,58.2%,39.6%,60.4%,41.3%,58.7%,51.4%,48.6%,83.6%,16.4%,72.2%,27.8%,48.5%,51.5%,29.4%,70.6%,67.0%,33.0%,73.8%,26.2%
,,,,,,,,,,,,,,,,,,,,,,
Del Norte,"3,974","4,578","3,038","5,105","4,102","4,285","3,395","4,882","2,832","5,574","7,067","1,337","5,676","2,731","4,911","3,544","1,948","6,445","4,164","4,066","5,406","2,646"
  Percent,46.5%,53.5%,37.3%,62.7%,48.9%,51.1%,41.0%,59.0%,33.7%,66.3%,84.1%,15.9%,67.5%,32.5%,58.1%,41.9%,23.2%,76.8%,50.6%,49.4%,67.1%,32.9%
,,,,,,,,,,,,,,,,,,,,,,
El Dorado,"33,406","53,533","34,661","46,712","48,098","37,613","42,024","42,232","30,156","55,526","69,137","16,398","52,156","33,053","33,237","52,948","15,860","69,124","38,073","45,740","59,919","20,530"
  Percent,38.4%,61.6%,42.6%,57.4%,56.1%,43.9%,49.9%,50.1%,35.2%,64.8%,80.8%,19.2%,61.2%,38.8%,38.6%,61.4%,18.7%,81.3%,45.4%,54.6%,74.5%,25.5%
,,,,,,,,,,,,,,,,,,,,,,
Fresno,"121,976","132,280","99,350","139,741","127,539","122,863","116,584","129,039","88,452","160,937","208,472","41,392","137,420","111,319","95,617","153,640","72,825","173,625","132,434","110,096","146,290","88,958"
  Percent,48.0%,52.0%,41.6%,58.4%,50.9%,49.1%,47.5%,52.5%,35.5%,64.5%,83.4%,16.6%,55.2%,44.8%,38.4%,61.6%,29.5%,70.5%,54.6%,45.4%,62.2%,37.8%
,,,,,,,,,,,,,,,,,,,,,,
Glenn,"3,400","5,586","3,716","4,748","4,948","3,875","4,182","4,508","2,532","6,288","6,936","1,884","5,113","3,804","2,810","6,200","1,803","7,141","3,803","5,027","5,628","2,840"
  Percent,37.8%,62.2%,43.9%,56.1%,56.1%,43.9%,48.1%,51.9%,28.7%,71.3%,78.6%,21.4%,57.3%,42.7%,31.2%,68.8%,20.2%,79.8%,43.1%,56.9%,66.5%,33.5%
,,,,,,,,,,,,,,,,,,,,,,
Humboldt,"36,204","20,261","18,761","33,338","21,427","33,723","18,903","35,052","27,299","28,017","43,651","11,480","42,153","13,041","37,321","18,819","17,160","37,394","35,462","18,640","37,313","13,584"
  Percent,64.1%,35.9%,36.0%,64.0%,38.9%,61.1%,35.0%,65.0%,49.4%,50.6%,79.2%,20.8%,76.4%,23.6%,66.5%,33.5%,31.5%,68.5%,65.5%,34.5%,73.3%,26.7%
,,,,,,,,,,,,,,,,,,,,,,
Imperial,"22,557","15,197","15,252","20,819","15,686","21,603","16,786","19,950","16,215","20,725","31,479","5,628","25,299","11,653","20,895","16,063","13,514","23,476","22,811","13,780","23,551","11,911"
  Percent,59.7%,40.3%,42.3%,57.7%,42.1%,57.9%,45.7%,54.3%,43.9%,56.1%,84.8%,15.2%,68.5%,31.5%,56.5%,43.5%,36.5%,63.5%,62.3%,37.7%,66.4%,33.6%
,,,,,,,,,,,,,,,,,,,,,,
Inyo,"3,286","4,587","2,669","4,727","4,087","3,679","3,925","3,747","2,550","5,226","6,255","1,477","4,747","3,003","2,925","4,887","2,079","5,640","3,629","3,970","5,372","1,978"
  Percent,41.7%,58.3%,36.1%,63.9%,52.6%,47.4%,51.2%,48.8%,32.8%,67.2%,80.9%,19.1%,61.3%,38.7%,37.4%,62.6%,26.9%,73.1%,47.8%,52.2%,73.1%,26.9%
,,,,,,,,,,,,,,,,,,,,,,
Kern,"90,969","127,770","92,543","116,648","113,937","102,918","110,254","103,573","67,098","148,174","182,374","33,704","120,839","94,593","76,592","139,383","56,630","158,230","107,871","105,145","143,408","65,256"
  Percent,41.6%,58.4%,44.2%,55.8%,52.5%,47.5%,51.6%,48.4%,31.2%,68.8%,84.4%,15.6%,56.1%,43.9%,35.5%,64.5%,26.4%,73.6%,50.6%,49.4%,68.7%,31.3%
,,,,,,,,,,,,,,,,,,,,,,
Kings,"13,050","18,193","12,535","17,568","16,107","14,849","15,134","15,434","9,253","21,473","25,271","5,604","16,504","14,274","10,132","20,759","7,589","23,136","14,677","15,783","19,189","10,732"
  Percent,41.8%,58.2%,41.6%,58.4%,52.0%,48.0%,49.5%,50.5%,30.1%,69.9%,81.8%,18.2%,53.6%,46.4%,32.8%,67.2%,24.7%,75.3%,48.2%,51.8%,64.1%,35.9%
,,,,,,,,,,,,,,,,,,,,,,
Lake,"11,858","11,109","7,714","14,168","10,032","12,686","9,789","12,773","9,351","13,475","18,846","3,908","15,246","7,432","10,337","12,615","6,832","15,720","13,140","9,202","15,005","6,680"
  Percent,51.6%,48.4%,35.3%,64.7%,44.2%,55.8%,43.4%,56.6%,41.0%,59.0%,82.8%,17.2%,67.2%,32.8%,45.0%,55.0%,30.3%,69.7%,58.8%,41.2%,69.2%,30.8%
,,,,,,,,,,,,,,,,,,,,,,
Lassen,"3,995","6,554","4,430","5,676","5,619","4,819","4,954","5,362","2,606","7,842","8,780","1,673","6,489","3,919","4,417","6,003","2,064","8,309","4,185","6,115","6,838","3,209"
  Percent,37.9%,62.1%,43.8%,56.2%,53.8%,46.2%,48.0%,52.0%,24.9%,75.1%,84.0%,16.0%,62.3%,37.7%,42.4%,57.6%,19.9%,80.1%,40.6%,59.4%,68.1%,31.9%
,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,"1,851,863","1,214,499","989,242","1,832,501","1,099,163","1,895,758","1,289,118","1,657,642","1,630,396","1,363,871","2,362,338","616,497","2,146,885","826,794","1,581,288","1,433,683","969,226","2,005,659","1,900,580","1,005,693","1,906,818","879,287"
  Percent,60.4%,39.6%,35.1%,64.9%,36.7%,63.3%,43.7%,56.3%,54.5%,45.5%,79.3%,20.7%,72.2%,27.8%,52.4%,47.6%,32.6%,67.4%,65.4%,34.6%,68.4%,31.6%
,,,,,,,,,,,,,,,,,,,,,,
Madera,"15,723","23,439","14,140","23,434","21,042","17,821","17,452","21,021","12,265","26,630","32,045","6,905","20,174","18,615","13,936","24,959","9,352","29,142","17,747","20,338","23,269","14,026"
  Percent,40.1%,59.9%,37.6%,62.4%,54.1%,45.9%,45.4%,54.6%,31.5%,68.5%,82.3%,17.7%,52.0%,48.0%,35.8%,64.2%,24.3%,75.7%,46.6%,53.4%,62.4%,37.6%
